Day,Month,IncidentYear,VictimInjury,State,Location,latitude,longitude,SharkType,SharkLength(m),Provoked,SharkCount,VictimActivity,InjuryLocation,InjurySeverity,VictimGender,VictimAge
21,1,2017,Injured,QLD,"murry island, torres strait, (80km east)",-9.863916667,144.7908167,whaler shark,4,Unprovoked,,snorkelling,"hand, arm, torso",major lacerations,Male,55
3,1,2017,Injured,NSW,merrimbula main beach,-36.88666667,149.9131833,wobbegong,,Provoked,,swimming,foot,minor lacerations,Male,19
13,1,2017,Injured,QLD,flaggy rock,-21.96676667,149.4843833,,,Unprovoked,1,swimming,hand,minor lacerations,Male,57
8,1,2017,Uninjured,QLD,northern tip of cape york (unknown location),-10.65406667,142.5072333,whaler shark,2.8,Provoked,1,spearfishing,other: uninjured,,Male,
24,2,2017,Uninjured,WA,"falcon bay, mandurah",-32.567,115.65,,,Unprovoked,1,boarding,,,Male,
18,2,2017,Injured,QLD,hinchinbrook island,-18.24948333,146.1839333,tiger shark,,Unprovoked,,snorkelling,leg,major lacerations,Male,25
25,2,2017,Injured,WA,mauds point coral bay,-23.2411667,113.1294,bull shark,,Unprovoked,1,snorkelling,hand,minor lacerations,Female,
19,3,2017,Injured,NSW,"the farm, killalea state park",-34.60465,150.8677833,,,Unprovoked,1,boarding,"torso, pelvic region",minor lacerations,Male,30
2,4,2017,Uninjured,QLD,moreton bay off redcliff,-27.05206667,153.05745,,,Unprovoked,1,unmotorised boating,other: uninjured,,Male,
2,4,2017,Injured,NSW,"one mile beach, port stephens",-32.7667,152.1127,grey nurse shark,,Provoked,1,boarding,left foot,minor lacerations,Male,46
17,4,2017,Fatal,WA,"the kelp beds, wylie bay, esperance",-33.83250092,121.9968696,white shark,,Unprovoked,1,boarding,leg,major lacerations,Female,17
4,6,2017,Uninjured,NSW,avoca beach,-33.0775,151.0725,white shark,2.5,Unprovoked,1,boarding,other: uninjured,,Male,
11,6,2017,Uninjured,WA,"casuarina point, bunbury",-33.3146,115.635,white shark,4,Unprovoked,1,boarding,,,,
29,8,2017,Injured,VIC,"cathedral point, lorne",-38.5367,143.9715,white shark,3,Unprovoked,1,boarding,pelvic region,minor lacerations,Male,
10,9,2017,Injured,NSW,main beach illuka,-29.59387,153.3322,white shark,,Unprovoked,,boarding,,,,
